,VaR
2020-01-02,
2020-01-03,0.009870743542769579
2020-01-06,0.009862410276616027
2020-01-07,0.009852894378130876
2020-01-08,0.008182353477741289
2020-01-09,0.00813460398171356
2020-01-10,0.00725345873917363
2020-01-13,0.007280404248996706
2020-01-14,0.007220473317405746
2020-01-15,0.006667941256191325
2020-01-16,0.006564065021351473
2020-01-17,0.006082325957500111
2020-01-21,0.005995665102222473
2020-01-22,0.005465516023001374
2020-01-23,0.005853951419612581
2020-01-24,0.005795302132164262
2020-01-27,0.006000606349433889
2020-01-28,0.006587522668190619
2020-01-29,0.0060329060353667315
2020-01-30,0.005936717460884318
2020-01-31,
2020-02-03,0.005173425699682281
2020-02-04,0.005149323482600546
2020-02-05,0.006268983117736564
2020-02-06,0.006807724472692641
2020-02-07,0.0067704598431699145
2020-02-10,0.0074569890261874236
2020-02-11,0.007568921529323972
2020-02-12,0.007567704733004124
2020-02-13,0.006465788668495545
2020-02-14,0.007544513254236271
2020-02-18,0.0069589792833176
2020-02-19,0.007016509978614006
2020-02-20,0.007998138102597504
2020-02-21,0.006795596642530498
2020-02-24,0.0052387524912337734
2020-02-25,0.005258266534316031
2020-02-26,0.007221702345678839
2020-02-27,0.006018758706921794
2020-02-28,
2020-03-02,0.01494693220597287
2020-03-03,0.014782382775591947
2020-03-04,0.013945006446100689
2020-03-05,0.008832342573914343
2020-03-06,0.010304228482139566
2020-03-09,0.009379911836087265
2020-03-10,0.008176686412750144
2020-03-11,0.006970330175530723
2020-03-12,0.006554518411320624
2020-03-13,0.008017664350152139
2020-03-16,0.007709782301567316
2020-03-17,0.01057945086107525
2020-03-18,0.006793517278902163
2020-03-19,0.007966212557250493
2020-03-20,0.009967314758605992
2020-03-23,0.01087039832031028
2020-03-24,0.010430879624498401
2020-03-25,0.011904491256846296
2020-03-26,0.008039090981978384
2020-03-27,0.008394468826306165
2020-03-30,0.010692339345011995
2020-03-31,
2020-04-01,0.016670573688154177
2020-04-02,0.012157689732734914
2020-04-03,0.012362093147287085
2020-04-06,0.012282329538817308
2020-04-07,0.009991991546569453
2020-04-08,0.010875432344302136
2020-04-09,0.011026048249535098
2020-04-13,0.011308906488114138
2020-04-14,0.009822066773136531
2020-04-15,0.014245903203632445
2020-04-16,0.012662663344331485
2020-04-17,0.015761109728148488
2020-04-20,0.012513647119904004
2020-04-21,0.01105130239544207
2020-04-22,0.014075883661177943
2020-04-23,0.016115759851685858
2020-04-24,0.015760968475693388
2020-04-27,0.015728023262180143
2020-04-28,0.016047777016025555
2020-04-29,0.018224847417852987
2020-04-30,
2020-05-01,
2020-05-04,
2020-05-05,0.030012054248860057
2020-05-06,0.026510509640424694
2020-05-07,0.027091141657908442
2020-05-08,0.027126144559556937
2020-05-11,0.020814730535014973
2020-05-12,0.01765991184852008
2020-05-13,0.01691886323220429
2020-05-14,0.01861445588181166
2020-05-15,0.020586558242828054
2020-05-18,0.018831639472075813
2020-05-19,0.0221532455048496
2020-05-20,0.021417110513092055
2020-05-21,0.021280372136167992
2020-05-22,0.020410896402621934
2020-05-26,0.018795394408836447
2020-05-27,0.02095007053519301
2020-05-28,0.018492449689044517
2020-05-29,
2020-06-01,0.05830620313476008
2020-06-02,0.0270704727206464
2020-06-03,0.026829568867835
2020-06-04,0.02176898379133048
2020-06-05,0.021785197089539417
2020-06-08,0.02161762911470429
2020-06-09,0.021703268150068185
2020-06-10,0.02178596381406111
2020-06-11,0.02214155741310143
2020-06-12,0.02204009468047542
2020-06-15,0.02233040757482906
2020-06-16,0.0222448939196197
2020-06-17,0.024565592441638643
2020-06-18,0.02529216873629576
2020-06-19,0.025461737551071176
2020-06-22,0.025972558779989215
2020-06-23,0.025615868609792532
2020-06-24,0.024642068401087666
2020-06-25,0.020483272436004937
2020-06-26,0.020351558210395214
2020-06-29,0.019698917913459395
2020-06-30,
2020-07-01,
2020-07-02,0.024370984937466714
2020-07-06,0.02083610958540508
2020-07-07,0.020596177949437865
2020-07-08,0.020722994330140684
2020-07-09,0.023085878812738304
2020-07-10,0.020942216345052736
2020-07-13,0.02114200394461088
2020-07-14,0.018163776831365306
2020-07-15,0.01882753142944335
2020-07-16,0.018231684609978174
2020-07-17,0.01581489567454609
2020-07-20,0.013848737217213365
2020-07-21,0.013915257226549281
2020-07-22,0.01571865792781267
2020-07-23,0.013829507145148105
2020-07-24,0.015214167241081005
2020-07-27,0.015373513018892285
2020-07-28,0.012831593076414046
2020-07-29,0.013720130879807092
2020-07-30,0.01374700012305758
2020-07-31,
2020-08-03,0.03685115483344386
2020-08-04,0.0370851098513914
2020-08-05,0.03695594941000105
2020-08-06,0.03678217413818674
2020-08-07,0.030173672938201637
2020-08-10,0.022330049018581325
2020-08-11,0.02218546027047336
2020-08-12,0.022183978536086092
2020-08-13,0.017764504311984623
2020-08-14,0.01789482431356448
2020-08-17,0.017988568817099055
2020-08-18,0.01809250681324176
2020-08-19,0.022045963207675743
2020-08-20,0.018786274397976917
2020-08-21,0.018647964686629864
2020-08-24,0.01853720607528151
2020-08-25,0.021658163053401704
2020-08-26,0.019280823859882067
2020-08-27,0.019248151315796658
2020-08-28,0.01902995378559543
2020-08-31,
2020-09-01,0.03331126265598585
2020-09-02,0.033447812109745664
2020-09-03,0.029927920369652018
2020-09-04,0.030249145611304408
2020-09-08,0.021029957616252867
2020-09-09,0.02085344964347479
2020-09-10,0.01854169104846482
2020-09-11,0.018458510929026367
2020-09-14,0.016392425580935423
2020-09-15,0.015218066793355625
2020-09-16,0.014240614031475156
2020-09-17,0.014678912600346724
2020-09-18,0.015465822314786465
2020-09-21,0.015571516252837779
2020-09-22,0.014552329949454754
2020-09-23,0.016645957557811557
2020-09-24,0.015620362846838345
2020-09-25,0.01607869560245516
2020-09-28,0.017548008860507888
2020-09-29,0.015857455882347923
2020-09-30,
2020-10-01,0.03927051108226545
2020-10-02,0.03944721030258451
2020-10-05,
2020-10-06,0.03238511809607648
2020-10-07,0.027977095903133846
2020-10-08,0.025964878956535892
2020-10-09,0.02557912728484775
2020-10-12,0.025892327061904308
2020-10-13,0.026130682722721305
2020-10-14,0.025945704247674107
2020-10-15,0.025649489312443936
2020-10-16,0.025632209909239263
2020-10-19,0.021205384983837658
2020-10-20,0.021530064009806858
2020-10-21,0.021347854060480082
2020-10-22,0.0185960903658818
2020-10-23,0.015618654625233307
2020-10-26,0.016388533199095667
2020-10-27,0.01529735894081351
2020-10-28,0.014718516992769106
2020-10-29,0.014601360497999418
2020-10-30,
2020-11-02,0.01826432907371307
2020-11-03,0.017960712726312982
2020-11-04,0.018532034589028974
2020-11-05,0.018599766761235086
2020-11-06,0.018479518807500945
2020-11-09,0.015394206238819355
2020-11-10,0.016036141498768967
2020-11-11,0.01593506892173691
2020-11-12,0.013534458244294436
2020-11-13,0.013709887875818668
2020-11-16,0.013645921721229881
2020-11-17,0.01165926062290004
2020-11-18,0.011856224327656872
2020-11-19,0.011662581853683917
2020-11-20,0.011321405053551566
2020-11-23,0.011344466107826147
2020-11-24,0.011789617471410958
2020-11-25,0.011790030397718792
2020-11-27,0.011767601890499479
2020-11-30,
2020-12-01,0.023913715092999138
2020-12-02,0.023830129060923994
2020-12-03,0.02398354723779385
2020-12-04,0.02038888026159166
2020-12-07,0.02063122828233008
2020-12-08,0.02063984054493869
2020-12-09,0.020584921039340207
2020-12-10,0.02061248951119309
2020-12-11,0.02076334643619908
2020-12-14,0.020721190062409103
2020-12-15,0.016265671229133343
2020-12-16,0.015309718022551492
2020-12-17,0.015256489561053086
2020-12-18,0.015385848976698872
2020-12-21,0.016841220797602734
2020-12-22,0.016687537099690442
2020-12-23,0.012794183728011986
2020-12-24,0.013547719514512748
2020-12-28,0.012027625435887047
2020-12-29,0.012855234563459078
2020-12-30,0.011861028447335109
2020-12-31,
2021-01-04,
2021-01-05,0.02743416650616482
2021-01-06,0.026894757928213466
2021-01-07,0.025410054705514926
2021-01-08,0.03840105985102652
2021-01-11,0.017972498388589806
2021-01-12,0.01915349019127539
2021-01-13,0.017518186740333657
2021-01-14,0.015144824333502704
2021-01-15,0.015296756187757407
2021-01-19,0.012391706896805977
2021-01-20,0.012197005630831198
2021-01-21,0.011906443345982393
2021-01-22,0.010998629618562595
2021-01-25,0.010975338374673694
2021-01-26,0.010987345533853667
2021-01-27,0.011035026967247898
2021-01-28,0.01114669093714042
2021-01-29,
2021-02-01,0.017384850659588256
2021-02-02,0.015770102124610545
2021-02-03,0.015872947365213427
2021-02-04,0.016036420681104915
2021-02-05,0.015996616007906365
2021-02-08,0.016420921572610776
2021-02-09,0.01643913565528482
2021-02-10,0.016565766223974154
2021-02-11,0.016496477978003923
2021-02-12,0.015208593230572427
2021-02-16,0.01567325402225211
2021-02-17,0.015914917989971206
2021-02-18,0.01500101517375092
2021-02-19,0.01496451612827282
2021-02-22,0.01645899360362369
2021-02-23,0.0175126190738148
2021-02-24,0.01707782389896059
2021-02-25,0.016862419293752526
2021-02-26,
2021-03-01,0.02397743961633909
2021-03-02,0.023846241809596352
2021-03-03,0.020369971340784037
2021-03-04,0.017330884380906263
2021-03-05,0.01799885908237488
2021-03-08,0.017717355087377647
2021-03-09,0.017523473535597207
