,VaR
2020-01-02,
2020-01-03,0.006911884798764788
2020-01-06,0.006983890227347107
2020-01-07,0.007000493613752314
2020-01-08,0.005788154876738113
2020-01-09,0.005795446485057745
2020-01-10,0.005181757285329919
2020-01-13,0.005158376693087412
2020-01-14,0.005121216707657781
2020-01-15,0.0047257365370958525
2020-01-16,0.004644237588225481
2020-01-17,0.004316967843627046
2020-01-21,0.004218427007088214
2020-01-22,0.0038660887354985316
2020-01-23,0.004095486557480454
2020-01-24,0.004076085144032772
2020-01-27,0.004236249395748738
2020-01-28,0.004696069599288384
2020-01-29,0.0042967198498616585
2020-01-30,0.00417024751089948
2020-01-31,
2020-02-03,0.003641616778254323
2020-02-04,0.0036210332524674637
2020-02-05,0.004400848183228567
2020-02-06,0.0047716107644384205
2020-02-07,0.004769768467210689
2020-02-10,0.00537043334969934
2020-02-11,0.005348475649761282
2020-02-12,0.005352399213887069
2020-02-13,0.004555812060529924
2020-02-14,0.005316705060744044
2020-02-18,0.004857961123645988
2020-02-19,0.004957370042185039
2020-02-20,0.005630841763498505
2020-02-21,0.004749627871713366
2020-02-24,0.0037187029038493868
2020-02-25,0.003752023972261356
2020-02-26,0.00504545116121856
2020-02-27,0.004260787120997203
2020-02-28,
2020-03-02,0.01048088561495463
2020-03-03,0.010463280997095517
2020-03-04,0.009882083598829479
2020-03-05,0.006246803297721153
2020-03-06,0.007272388878150062
2020-03-09,0.006639619466694354
2020-03-10,0.0057946410513193165
2020-03-11,0.004896517613018777
2020-03-12,0.0046483637558244716
2020-03-13,0.0056506575499224755
2020-03-16,0.005424899830970958
2020-03-17,0.007554642677370465
2020-03-18,0.00482308842825659
2020-03-19,0.005637844919284197
2020-03-20,0.007018266492177297
2020-03-23,0.00778870220926676
2020-03-24,0.007417650679815121
2020-03-25,0.008360838308518977
2020-03-26,0.00570200078521005
2020-03-27,0.005986718683640054
2020-03-30,0.007602933117705654
2020-03-31,
2020-04-01,0.011631038484034309
2020-04-02,0.008621184477382724
2020-04-03,0.008692610421263304
2020-04-06,0.00865518712932135
2020-04-07,0.007071781039730016
2020-04-08,0.007740196235697379
2020-04-09,0.007713557782820166
2020-04-13,0.007997782977863308
2020-04-14,0.0069678979101147
2020-04-15,0.010068923502139795
2020-04-16,0.00892971816956315
2020-04-17,0.011283588808740905
2020-04-20,0.008803767518419483
2020-04-21,0.007893243469933435
2020-04-22,0.009831578172392852
2020-04-23,0.011408296099037365
2020-04-24,0.011164183840485887
2020-04-27,0.01125192994066153
2020-04-28,0.011378677286653753
2020-04-29,0.012924429508858712
2020-04-30,
2020-05-01,
2020-05-04,
2020-05-05,0.021153212769495208
2020-05-06,0.01882796269402402
2020-05-07,0.019217890275040842
2020-05-08,0.019106833533600726
2020-05-11,0.014736127143492978
2020-05-12,0.012444356603762629
2020-05-13,0.011897193829200658
2020-05-14,0.013127143381095864
2020-05-15,0.014385453445139518
2020-05-18,0.013301270873060487
2020-05-19,0.015460048878604598
2020-05-20,0.01521395946223983
2020-05-21,0.01509363150778062
2020-05-22,0.014444529457131185
2020-05-26,0.013282225751256035
2020-05-27,0.014716386718603768
2020-05-28,0.012972141215007652
2020-05-29,
2020-06-01,0.04143351657872629
2020-06-02,0.01895917612820174
2020-06-03,0.018853617170123523
2020-06-04,0.015464259066271762
2020-06-05,0.015345206524388623
2020-06-08,0.015153879407432283
2020-06-09,0.015299421221969025
2020-06-10,0.015564828382882749
2020-06-11,0.01567585395281106
2020-06-12,0.015610185229874328
2020-06-15,0.01569500702140806
2020-06-16,0.01566285345583914
2020-06-17,0.01742301138925625
2020-06-18,0.01801490026889552
2020-06-19,0.018058845803434604
2020-06-22,0.018405870705450644
2020-06-23,0.01824324334799473
2020-06-24,0.017426173037549748
2020-06-25,0.014536313368562485
2020-06-26,0.014299896236475786
2020-06-29,0.013891165599697344
2020-06-30,
2020-07-01,
2020-07-02,0.017242859907830418
2020-07-06,0.014550012584109753
2020-07-07,0.014596437902602143
2020-07-08,0.014580148404229953
2020-07-09,0.016384172369254768
2020-07-10,0.014798079036653209
2020-07-13,0.014930515910056603
2020-07-14,0.012858177251006794
