PERMNO1,PERMNO2,p_value,alpha,beta,spread_sd
76932,64936,1.9349463510972463e-05,0.5898570676319639,1.2742340416781737,0.018809768744176055
15272,92596,2.6591810149053332e-05,2.686540290611745,-5.362796466649161,0.11555822332191873
14009,19514,5.100898682919473e-05,0.952387516312417,0.08313508149198755,0.013684523160965772
89258,20415,5.5609106013051015e-05,0.8768470031501904,1.4165305609317111,0.024467976734702235
85913,83143,6.146053943128932e-05,1.0860040436241596,0.8167544707613983,0.02785510872787979
17987,76655,6.295470803225901e-05,3.7663247487848333,-15.890432429652709,0.13245855521172292
57904,89781,6.323367813421628e-05,0.8290416094516029,-0.47270132974797596,0.024540415655110313
13323,80128,0.0001013273607649585,1.9651956725850446,-5.952010428133596,0.08061927988021853
90319,93089,0.00010160526443981732,1.1805102222645594,-1.5704867460402485,0.03824040294355072
76932,24109,0.00011450888256293123,0.8757373533776555,-0.2862874784128879,0.022228504546794092
86755,84761,0.0001162417081872602,0.86520110575204,1.6090836948565816,0.022474705394715043
84761,19988,0.00013239988139678965,1.1065617745166654,-0.5893305872212853,0.025417008839199846
14542,93089,0.00014074735918507699,1.185691619675459,-1.5915543011838602,0.03879068295816953
76932,52898,0.00020322762281636738,0.6325287082949409,1.266048387172145,0.02131313504888241
84403,90175,0.00020791112206331193,0.3408481816752943,3.3780193533465357,0.03317389919605316
91152,20189,0.00020884840021331055,0.5679238333393406,4.281028936643641,0.029567583823586666
18835,85992,0.00023220380955017573,1.637520441538648,-5.270532882074319,0.06417012354755244
84788,48486,0.0002608921137753409,1.033965347751456,-1.8142673754900975,0.039389409541142735
14617,87034,0.000279419492123699,0.6592569823989972,0.7358640817334096,0.035545577213412095
92585,13922,0.0002857759158839404,0.9507462818109482,0.5774587827784899,0.007498879924157441
