PERMNO1,PERMNO2,p_value,alpha,beta,spread_sd
45356,57904,3.8124373757950447e-07,1.122524445024562,-0.599740902541983,0.03353154624513789
84381,32678,8.929984799452828e-07,1.4217790592099537,-1.6570907568099915,0.03419421079330167
79698,75591,1.2645365846148954e-06,1.376617673348953,-1.6705987648949723,0.029659263024924765
85348,28302,8.291496830113585e-06,1.0292823780697915,0.8145920118724739,0.020628482498381704
84381,61313,4.6352542348855136e-05,1.195838877337772,0.6905669293597029,0.03926686114697358
81655,89031,5.887186163277669e-05,0.28122160217207115,3.5087442436732053,0.02566494630450749
80381,16581,6.181198059001771e-05,1.0634116245071261,1.4689856307477627,0.018846835629180297
90505,77661,0.00010048887176160253,1.4171304587796896,-2.463420183888737,0.06247829457173921
81677,23579,0.0001358553742296216,1.1191852565665517,-0.15739564526174088,0.024188388633567773
79094,13527,0.00014363831219474965,0.7664550027628998,0.32527539817522216,0.04305387016009398
12591,81677,0.0001483466476009818,1.443302206582289,-2.4819767082317403,0.03636333598828972
23931,24985,0.0001754422931580813,1.0819298697273168,-0.5997123510088315,0.01109659939557044
79698,80128,0.0001778539396253326,0.9401125110166876,0.37517924859194035,0.03357599684588869
92596,91090,0.00019073606561739056,0.5682318384989828,1.3559433353727077,0.05272769318301119
84769,16087,0.0002232010370344996,1.0218751630920555,0.07067185249549036,0.017843088019387648
79686,92596,0.00025365652802792986,1.0092249381313696,1.9329250888135043,0.04822106870146592
81678,17035,0.00026707050079061634,0.6961146518936018,2.403792041433408,0.032105746101791906
86783,15053,0.00028524909342439746,1.3409202471772033,3.2689421098118308,0.04229360028332986
93144,93142,0.0004904467940458488,0.4530071406476984,2.3473451349092054,0.0017000556438776892
93144,91701,0.0005585132338225182,0.4336317252910434,2.6291922227145177,0.001995080532966043
