PERMNO1,PERMNO2,p_value,alpha,beta,spread_sd
84032,16505,1.704566015913562e-09,1.402839131250319,-2.547777001898609,0.07223794857078153
80070,84032,4.8052709611776786e-09,0.9863637154086483,0.37194608074355245,0.07328586161875487
14889,12641,1.687074455155196e-08,0.8850872337704202,0.25168675441417254,0.05834013407396357
13284,12641,1.693265157724856e-08,0.45692761733926585,2.094876384508488,0.041374715428048284
42906,28804,2.4943998056212638e-08,0.6755096361499973,-0.1760827492053429,0.04053010967303697
43350,12508,2.5968472892049826e-08,1.7371795797169496,-1.8808524298797036,0.029754554513040737
79145,76892,8.06790602442896e-08,2.0326461495711783,-4.188013592489826,0.09351728942748565
12508,27888,1.0284064155868032e-07,0.5266102223966254,1.5983923776751061,0.026802453753629413
35044,12641,1.2146254225671174e-07,0.7545749626242994,-0.09064270555303927,0.04797440352509431
87842,75241,1.244122922217713e-07,0.7394314521888015,0.25509420479466394,0.04119617675799428
30940,71175,1.533375150701202e-07,0.9321746385049694,0.715803906260438,0.04479402222912135
75154,36397,1.6178163232457223e-07,1.8918184033908372,-1.4460311322247807,0.08884362086295543
79057,13003,2.2534686732206681e-07,0.539800963506568,3.8217237083842126,0.03854576187047677
92491,90569,3.2131361848529573e-07,0.2379498728023564,3.466849250701268,0.0156098952739913
18428,27888,4.506978575750213e-07,1.130217877776291,-1.2064717454427334,0.04806162647648623
89895,84032,5.355699271829596e-07,0.4137748801650145,3.3458763606844073,0.02970960670954807
84032,20204,8.172476000528205e-07,1.352468895042565,-2.8752129419860575,0.07449166908800711
35554,93419,1.0100112269700983e-06,1.023736262311747,1.42796327001292,0.05845127994599053
34833,16499,1.0421123526830735e-06,1.0539022043174504,0.3928634019660518,0.11124347505549947
61621,23819,1.0862610929110608e-06,0.265234812678053,3.6255707865124727,0.03583470727865482
