PERMNO1,PERMNO2,p_value,alpha,beta,spread_sd
86996,84761,1.1180348585241041e-07,0.8326887294191992,1.4803915793482372,0.030568754438694862
91873,84761,2.5146455526122947e-07,0.08103481428590883,4.2917875077857754,0.003350896642752006
91873,12366,1.754868124097903e-06,0.09161352889036779,4.290725064718801,0.002427836401318243
93144,91703,1.948447920252169e-06,1.0057023235240063,0.389643016307978,0.0005138647806775868
93148,12366,4.393371136216617e-06,0.08966561732029787,3.5894159721823904,0.002544644963245587
48506,91152,4.835950013418328e-06,1.027039422125307,-1.0727198620885698,0.02591300496642444
79323,14704,7.686448898414855e-06,0.5327676665707023,2.4217239018133165,0.014820432691538741
22779,13739,8.699703694532955e-06,0.8811422043568236,0.6900170316406503,0.02708461717714386
91952,84761,8.727830445629683e-06,0.1579082504144064,3.6696579552599395,0.006522575632679117
15358,86228,1.2757820427679734e-05,4.886716428236868,-16.045017402390865,0.06101317617717985
32942,80864,1.3593478013290709e-05,0.6522602186492913,1.8733140979919072,0.022012237558037346
34833,12542,2.4814869780326027e-05,1.806234239327599,-1.7280290986780944,0.05201285861450474
61735,90601,2.6326040843595123e-05,0.9181627997550995,1.0395546499346486,0.016912018130311603
82307,80795,2.7605548848852293e-05,1.0491226439575276,-1.05727405990354,0.038078149729289294
70519,43350,2.8029317717828757e-05,0.9518882983421443,-0.49985420901038286,0.0194363657648759
45751,61241,3.222032444770432e-05,0.3011976939984447,3.5609874757059607,0.015576966912768385
91457,85082,4.62447975545745e-05,1.9858194642823528,-4.896381486859663,0.043804783444803146
79323,16479,4.718835429236917e-05,0.6911101970505408,2.879935547014399,0.016896985322153887
79785,82515,4.8763365130969785e-05,1.147709134132284,2.1054170709799025,0.030888855825790137
23931,16341,5.4788856561128475e-05,1.0258773186030128,0.3265348795553712,0.014821032717631551
