PERMNO1,PERMNO2,p_value,alpha,beta,spread_sd
49015,27888,2.4283219350825166e-10,1.622713751281064,-3.3182365832516565,0.060363258721917966
80070,84032,3.0980795958367986e-08,1.0042770121462803,0.3038175834722527,0.07686783203709029
22509,90558,5.920825246405087e-08,0.8690443460736953,2.1253679861867063,0.030299159920574976
52230,79094,7.148548260304182e-08,0.7251651333350839,1.423223725017121,0.03509919047087556
89533,87137,1.6567180419320536e-07,0.6365287727658956,2.8628252068964626,0.07318093650452781
59176,69649,4.4722100140561754e-07,1.031496233455852,0.16760558434564382,0.04220918343198546
15724,86121,4.92551601499616e-07,1.0103141494158343,0.5164833484242145,0.09096447963868272
90199,67598,8.865986451555189e-07,1.0232672369938594,0.4440456739532681,0.045905257780174756
90664,12994,1.170753072580947e-06,1.6266540057983838,-2.096851160742771,0.08527813958999324
45356,13957,1.4651697148381236e-06,1.0522117498905978,-0.17462843810876177,0.035952702665808633
85257,11786,1.573045781989689e-06,0.6584998169380931,0.9676408738042259,0.033768004020413245
65947,22517,1.7035767179394e-06,1.6314111832558953,-1.3889564019151222,0.07417946662400016
85348,89070,1.7392124795153711e-06,0.7928797415777941,0.6475056930930194,0.029849817854910192
40539,16496,2.4135055462662896e-06,0.4234747901974854,2.4979409931104084,0.031008065776544566
76709,82830,2.535123547869802e-06,1.1393418765093724,-0.20505612800564485,0.047559886487018095
75819,91041,2.5672666621674876e-06,1.2277186693106044,-1.1480226707390757,0.08040676038172748
22517,62308,2.8900556878088343e-06,0.913676296851383,-0.6933393876168581,0.03772451442517052
12400,52230,3.2243145209387526e-06,1.3841218460823255,-1.141981145239376,0.05411330556928581
16084,76892,3.8096746602930917e-06,1.3637730646194886,-2.3570366103989677,0.10323384321221316
12369,84588,4.0416657416684105e-06,1.1259769604461967,-2.629222609083584,0.059756537819718736
