PERMNO1,PERMNO2,p_value,alpha,beta,spread_sd
34746,20053,7.134654615700267e-06,0.9132578864826052,0.17367838809449282,0.02601003723137027
86755,19988,2.7562246186139425e-05,1.0006850326267096,0.8849396677507524,0.00034805357054789416
14179,18368,3.086131748559081e-05,0.8513726018098972,0.24858379605920072,0.06357871345151862
89895,58413,4.167320660399839e-05,0.5871398477330141,2.0674399108291355,0.012915352692710316
11403,14970,5.982174050398759e-05,0.5989579518420686,1.699905098386999,0.03874888591841311
16084,17799,9.427240223954317e-05,0.7058322094201704,-0.30691911430125873,0.036758551724137285
89533,13527,0.00010014567898819073,1.3239265951561352,-2.3465971912843644,0.06526030572900585
77605,79686,0.0001243380953546208,0.5889293071473963,0.3050677939739413,0.02849052173660063
16343,89533,0.00021362020231323475,0.4522700490269926,1.9932649625986518,0.03578398872913452
11533,78981,0.0003419561060483505,2.421740342437571,-6.006943661662696,0.06568344323901125
84828,15546,0.00043135099635355716,1.0616192879265458,0.5324765939935295,0.052658812825641034
93144,91702,0.00047356152981158507,0.43867343491641014,2.6067263163738015,0.001572055362085839
91233,15979,0.0005278869262117234,1.291388359247116,0.5646565845226841,0.020842037213327662
34746,90776,0.0005349561203613433,0.3895111787669329,1.885391763523039,0.037278068891421344
89617,12508,0.0005381106418935065,1.4955319254120094,0.5796950965998535,0.0271427889243391
82303,83728,0.0005876971774554433,0.7529100314290723,1.8912021824807348,0.027402900430027823
87666,88402,0.0006357779587608042,1.259324996817211,-1.5401370149667903,0.019661661443202028
80204,87034,0.0006504405316300241,0.8764521984525474,1.0209025149409354,0.026307852848403014
91233,12508,0.0006531139583993357,1.2461157773406317,0.9103842502871572,0.01958560725671349
40272,21124,0.0007250081605551327,0.8618742323153504,1.790560132619464,0.042266163078805236
