PERMNO1,PERMNO2,p_value,alpha,beta,spread_sd
88360,17685,9.140216662603196e-12,0.6031504661863281,1.40350173122952,0.06837723306466593
17685,85246,8.587180148515712e-10,2.002195107544554,-6.221973260502975,0.11902426542710969
17685,11600,2.695929597976756e-09,1.6099152586336556,-1.57315037007282,0.11949252128792211
20482,17685,3.362725403579286e-08,0.23937232881744713,3.6867104775465576,0.029599529628935504
17685,14136,1.7630025274009265e-07,0.6260079143992657,1.6725739533303332,0.09195052049356343
17685,78840,5.32942543010177e-07,1.1159904489357306,-0.5527482690917083,0.10506042710709594
43350,17685,7.530797729098748e-07,0.7532456856401971,1.4849743942681874,0.08902090044923598
17685,13405,1.1396691700255152e-06,1.6507223123950625,-1.6280485103363034,0.09743106272877425
17685,16932,2.2888748219545264e-06,0.8649984340840463,0.40883027009226297,0.09006750259418551
15850,17685,3.113361057094697e-06,0.869445321302458,0.5468143926057404,0.08806564137493035
17685,20894,3.2597270706401e-06,0.6960753562866927,1.8378594442312186,0.0997645438113322
88860,17685,4.06416446800454e-06,0.9665788897319012,1.5539786711917123,0.09236200269812739
77178,89469,7.292878254493806e-06,2.3209793527607454,-5.816462647076007,0.04736346079864401
15826,84767,8.310386753449164e-06,2.221087752895772,-6.902303211938161,0.09677125473987166
88360,82515,8.747057454175059e-06,1.3284942752391462,-3.9115850770904514,0.06237915907307991
58246,90790,1.0017401515455086e-05,0.49961442344695306,3.2267192918440197,0.03464223074452794
77178,93148,1.0159542049856879e-05,2.6861296164256623,-5.4659191231211235,0.04507458522347966
11990,13103,1.0166842872961246e-05,0.7179247221937939,0.6385298017481102,0.03794460700093209
12308,77300,1.1176822850465151e-05,0.5020607775979662,3.9032448040596535,0.050159263729774466
17685,13181,1.1790437845878998e-05,1.7986420165598231,-3.506096729539272,0.09305193747258418
