PERMNO1,PERMNO2,p_value,alpha,beta,spread_sd
66093,11533,6.375338337967998e-08,0.3928286858039073,0.0410093293231186,0.02441063951047459
23026,59396,1.473902306234225e-07,0.7452145706794381,1.10774872811822,0.01635943939212937
77191,24063,2.7060216246415242e-06,0.5268760400451463,3.0708358351269487,0.03538940663484432
70578,92585,2.9701181937752346e-06,1.7416807646215149,-2.7503701019526363,0.02147816310369842
80100,51625,4.036970604295585e-06,1.229017432966876,-0.2508578401920441,0.030770318108316645
25582,89641,4.131363378694468e-06,0.6274742040214059,2.5330959336694834,0.02686786499487487
24010,59396,4.415983534307672e-06,0.9265672302774919,1.4969346982260816,0.01940718224129226
86228,89382,1.5012580812064889e-05,0.6798373344678058,1.6664462238665927,0.022512090933995903
89003,15534,1.8494155535572987e-05,0.4107129011107053,2.4054630888994604,0.025234197917609696
12508,70578,2.1914573898379496e-05,0.3942512494402291,1.9544611127658797,0.012726830703153098
26710,89382,2.2164435187592183e-05,0.45422957920561535,1.9417869751884318,0.02002569970695194
89179,90427,2.298627458521358e-05,0.3106792751330924,4.683638325179112,0.02015936733872455
88837,79210,2.3106642401033548e-05,1.2689644987673212,-1.65891049063264,0.03441174483099829
89179,91547,2.361069300029557e-05,0.3838241087370324,4.366645272209987,0.021171143133774904
24010,23229,2.3869066582948707e-05,1.1375557033167052,0.005212371961462468,0.013068194623579039
89003,76795,2.7905126489914122e-05,0.9042146058386986,-0.8914643913939804,0.044805636586318885
79145,36003,3.255951191026746e-05,1.8760421332056108,-2.244188283258562,0.047726906146118055
70578,16822,3.747666135831703e-05,1.9861601833474234,-2.6273051672045624,0.02997496629085927
91111,82694,3.812416330444907e-05,0.2620835606200994,1.214008100385438,0.021541851397268733
60687,89810,3.901548928918636e-05,0.6018769040049023,2.854067030752335,0.020025410496861316
