,timestamp,PERMNO,quantity,price
107,2022-05-31,23026,-0.01158149624512206,43.06
108,2022-05-31,24440,0.013036400991376278,41.54
109,2022-05-31,61241,0.002869227820828217,102.43
110,2022-05-31,84769,-0.010728646800358127,70.89
111,2022-05-31,13721,-0.002653378603361698,148.64
112,2022-05-31,38762,0.019794668742217768,31.47
113,2022-05-31,77702,-0.003518092445088288,76.97
114,2022-05-31,86356,-0.013548300787088954,48.44
115,2022-05-31,18886,0.009480243074569992,38.19
116,2022-05-31,45751,-0.0032563348839867046,160.35
117,2022-05-31,86228,0.0036179441850440297,136.13
