,timestamp,capital
0,2022-09-01,20.0
1,2022-09-02,20.00389831377869
2,2022-09-06,20.005215817657074
3,2022-09-07,19.973511744433853
4,2022-09-08,19.97437356486731
5,2022-09-09,19.961978613061557
6,2022-09-12,19.998245627577557
7,2022-09-13,19.995917872467047
8,2022-09-14,19.95391191772646
9,2022-09-15,19.976290491286942
10,2022-09-16,19.952216413613634
11,2022-09-19,19.978668760087338
12,2022-09-20,19.917086821197262
13,2022-09-21,19.89398381277901
14,2022-09-22,19.863705140754274
15,2022-09-23,19.794575751145985
16,2022-09-26,19.759451662626137
17,2022-09-27,19.73869041539579
18,2022-09-28,19.70226431547564
19,2022-09-29,19.701650862262778
20,2022-09-30,19.687004209416877
