,timestamp,capital
0,2023-06-01,19.999999999999996
1,2023-06-02,20.024701412353778
2,2023-06-05,20.011376313360753
3,2023-06-06,20.012667128593897
4,2023-06-07,20.029748412028493
5,2023-06-08,20.058815484896446
6,2023-06-09,20.014676121801678
7,2023-06-12,20.030216965759973
8,2023-06-13,20.014783469219317
9,2023-06-14,20.02013669150861
10,2023-06-15,20.041365565671065
11,2023-06-16,20.077695079533523
12,2023-06-20,20.08043924320153
13,2023-06-21,20.101010550650688
14,2023-06-22,20.123152164967447
15,2023-06-23,20.11341365873453
16,2023-06-26,20.112684000325736
17,2023-06-27,20.091708516906316
18,2023-06-28,20.105635787707815
19,2023-06-29,20.116024575322875
20,2023-06-30,20.11491566270102
